run,kin,T2_scaler,q_bcm1,q_bcm2,q_bcm4a,q_bcm4b,q_bcm4c,I_bcm4a_avg,T2_scaler_new,q_bcm1_new,q_bcm2_new,q_bcm4a_new,q_bcm4b_new,q_bcm4c_new,I_avg_new, T1_scaler_new
16978, MF,  17927187.,    -3.279,   5.432,    5.485,   27.799,  6.112,   27.489,  17899453.,  5.465,   5.457,   5.435,   4.625,   5.448,   27.527
16979, MF,  250242873.,	  -43.301,  75.657,   76.223,  386.687,	84.854,  27.972,  250056458., 76.181,  76.068, 	75.615,  64.386,  75.700,  27.872
17036, SRC, 401593715.,	  18.625,   116.975,  118.087, 317.381,	131.527, 52.481,  401471731., 117.774, 117.990,	117.391, 52.857,  117.549, 52.359,  591833944.
17037, SRC, 397668424.,	  18.771,   116.450,  117.612, 315.744,	131.052, 52.619,  397638362., 117.285, 117.490,	116.948, 52.614,  117.155, 52.369
17038, SRC, 414893907.,	  17.957,   121.838,  123.005, 332.158,	137.041, 51.759,  414775403., 122.664, 122.892,	122.278, 55.328,  122.477, 51.629
17039, SRC, 447566553.,	  23.524,   131.479,  132.766, 351.386,	147.939, 53.754,  447505684., 132.399, 132.653,	132.014, 58.542,  132.247, 53.537
17040, SRC, 386739681.,	  16.096,   114.247,  115.507, 314.493,	128.742, 51.435,  386739681., 115.060, 115.268,	114.861, 52.418,  115.096, 51.147
17041, SRC, 348378321.,	  17.053,   102.789,  103.942, 275.282,	115.814, 53.038,  348227143., 103.463, 103.670,	103.316, 45.831,  103.493, 52.990
17043, SRC, 130271506.,	  -9.663,   39.922,   40.241,  166.457,	44.852,  35.387,  130271506., 40.234,  40.214,	39.981,  27.738,  40.070,  35.158
17044, SRC, 448386168.,	  -12.520,  136.310,  137.471, 502.736,	153.211, 40.231,  448325746., 137.416, 137.358,	136.608, 83.752,  136.892, 40.025
17045, SRC, 419348708.,	  5.882,    125.929,  127.381, 399.242,	142.030, 46.177,  419287756., 126.939, 126.953,	126.620, 66.512,  126.932, 45.969
17046, SRC, 77446059.,	  -0.517,   23.302,   23.582,  76.571, 	26.299,	 43.117,  77416500.,  23.477,  23.480,	23.432,  12.752,  23.495,  43.000
17047, SRC, 419764538.,	  15.651,   124.243,  125.806, 355.277,	140.156, 50.509,  419644292., 125.148, 125.293,	125.058, 59.170,  125.256, 50.371
17048, SRC, 469877930.,	  19.224,   139.622,  141.201, 401.826,	157.373, 51.059,  469877930., 140.722, 140.843,	140.408, 66.962,  140.690, 50.773
17049, SRC, 265115375.,	  15.121,   78.405,   79.215,  211.543,	88.262,	 54.599,  265085470., 78.985,  79.105, 	78.770,  35.242,  78.903,  54.368
17050, SRC, 248932302.,	  15.580,   73.605,   74.380,  195.178,	82.916,  55.916,  248932302., 74.157,  74.278, 	73.975,  32.524,  74.137,  55.611
17051, SRC, 737528282.,	  45.015,   218.429,  220.590, 578.781,	245.906, 55.529,  737408276., 219.960, 220.384,	219.347, 96.408,  219.827, 55.328
17052, SRC, 462153609.,	  25.826,   137.065,  138.482, 367.474,	154.320, 54.356,  462153609., 138.030, 138.308,	137.721, 61.239,  137.974, 54.057
17053, SRC, 626161475.,	  35.764,   185.868,  187.809, 497.613,	209.202, 54.631,  626131337., 187.167, 187.546,	186.768, 82.915,  187.035, 54.360
17054, SRC, 529445214.,	  31.797,   157.096,  158.772, 416.242,	176.887, 55.343,  529354967., 158.146, 158.500,	157.875, 69.334,  158.125, 55.146
17055, SRC, 618857894.,	  36.334,   183.691,  185.768, 488.442,	206.978, 55.056,  618827857., 184.958, 185.354,	184.742, 81.387,  185.048, 54.785
17056, SRC, 644011550.,	  41.399,   191.076,  193.309, 500.585,	215.463, 56.409,  643921300., 192.365, 192.801,	192.230, 83.387,  192.622, 56.193
17057, SRC, 583234517.,	  34.343,   173.304,  175.391, 460.953,	195.487, 55.121,  583144626., 174.487, 174.853,	174.401, 76.786,  174.754, 54.914
17093, MF,  160160376.,	  -25.990,  49.416,   49.725,  244.511,	55.434,  28.783,  160130254., 49.789,  49.721, 	49.362,  40.741,  49.488,  28.606,  221892312.
17094, MF,  41145953.,	  -4.069,   12.590,   12.675,  54.060, 	14.130,  33.181,  41111681.,  12.680,  12.667, 	12.580,  8.999,   12.610,  33.127,  57575009.
17096, MF,  335721439.,	  25.803,   97.988,   98.943,  239.722,	110.371, 60.046,  335721439., 98.674,  98.915, 	98.416,  39.948,  98.694,  59.726,  495627331.
